,initialization,filtering,windowing,ego_vehicles,grouping,saving,total
1,0.5491440296173096,0.008603811264038086,,0.04324603080749512,0.06758809089660645,0.1712818145751953,0.8398637771606445
2,0.5614621639251709,0.007471799850463867,,0.07611274719238281,0.127485990524292,0.2615370750427246,1.0340697765350342
3,0.5473191738128662,0.007657051086425781,,0.07502412796020508,0.11881899833679199,0.1800670623779297,0.9288864135742188
4,0.5082659721374512,0.006834983825683594,,0.06757879257202148,0.10910701751708984,0.16982603073120117,0.8616127967834473
5,0.5262677669525146,0.007854700088500977,,0.07826375961303711,0.12701916694641113,0.18626093864440918,0.925666332244873
6,0.5586879253387451,0.009115934371948242,,0.08557271957397461,0.1495661735534668,0.24261713027954102,1.0455598831176758
7,0.5236291885375977,0.008112907409667969,,0.06496310234069824,0.10282397270202637,0.1770949363708496,0.8766241073608398
8,0.5642218589782715,0.007603883743286133,,0.08989381790161133,0.14263582229614258,0.16100406646728516,0.9653594493865967
9,0.5606629848480225,0.007668972015380859,,0.11963582038879395,0.13660621643066406,0.15543127059936523,0.9800052642822266
10,0.5014810562133789,0.0075070858001708984,,0.06513309478759766,0.10668110847473145,0.11529111862182617,0.7960934638977051
11,0.49965691566467285,0.006430864334106445,,0.06190204620361328,0.09814786911010742,0.08430099487304688,0.7504386901855469
12,0.47019529342651367,0.005834102630615234,,0.036399126052856445,0.05826711654663086,0.0906839370727539,0.6613795757293701
13,0.5296580791473389,0.008053064346313477,,0.07032394409179688,0.11189413070678711,0.12481427192687988,0.8447434902191162
14,0.4225490093231201,0.0034439563751220703,,0.026298999786376953,0.04346799850463867,0.050909996032714844,0.5466699600219727
15,0.4364452362060547,0.0041351318359375,,0.036269187927246094,0.05685710906982422,0.059600114822387695,0.5933067798614502
16,0.5410878658294678,0.009011030197143555,,0.08313989639282227,0.13726210594177246,0.2379460334777832,1.0084469318389893
17,0.5409600734710693,0.007967948913574219,,0.08534502983093262,0.1553027629852295,0.19467687606811523,0.9842526912689209
18,0.4887709617614746,0.006346225738525391,,0.05997419357299805,0.09396719932556152,0.12814617156982422,0.7772047519683838
19,0.6100060939788818,0.010076045989990234,,0.09830713272094727,0.1607530117034912,0.23339223861694336,1.112534523010254
20,0.5692627429962158,0.007463932037353516,,0.08783388137817383,0.13990402221679688,0.17998409271240234,0.9844486713409424
21,0.5269978046417236,0.007791996002197266,,0.07538628578186035,0.12361025810241699,0.12336373329162598,0.8571500778198242
22,0.4837672710418701,0.006658077239990234,,0.052593231201171875,0.09842801094055176,0.07908105850219727,0.7205276489257812
